month,P_t,D_t,S_t,month_num,year,month_sin,month_cos,D_t_lag1,D_t_lag2,D_t_lag3,D_t_lag6,D_t_lag12,D_t_ma3,D_t_std3,D_t_ma6,D_t_std6,D_t_ma12,D_t_std12
2012-06-01,50224275.0,10748750.0,0.2140150355580045,6,2012,1.2246467991473532e-16,-1.0,8348925.0,6970325.0,6484100.0,6382300.0,3415350.0,7267783.333333333,967343.8712310807,6852816.666666667,762988.8861685118,5421225.0,1647154.3294421448
2012-07-01,60294525.0,11384800.0,0.1888197974857584,7,2012,-0.4999999999999997,-0.8660254037844388,10748750.0,8348925.0,6970325.0,6438800.0,3654425.0,8689333.333333334,1912075.3764452732,7580558.333333333,1714060.8627369876,6032341.666666667,2126065.858504146
2012-08-01,70078650.0,12438575.0,0.1774945008215769,8,2012,-0.8660254037844384,-0.5000000000000004,11384800.0,10748750.0,8348925.0,6492450.0,3249650.0,10160825.0,1601054.686175647,8404891.666666666,2180894.912912281,6676539.583333333,2481497.851336658
2012-09-01,77027750.0,13158350.0,0.1708260983866204,9,2012,-1.0,-1.8369701987210297e-16,12438575.0,11384800.0,10748750.0,6484100.0,4188900.0,11524041.666666666,853474.260864575,9395912.5,2469896.6560743996,7442283.333333333,2732918.278501884
2012-10-01,82042125.0,14091825.0,0.1717632862386243,10,2012,-0.8660254037844386,0.5000000000000001,13158350.0,12438575.0,11384800.0,6970325.0,4354825.0,12327241.666666666,892001.2522179178,10508287.5,2398122.704155795,8189737.5,2977826.048641175
2012-11-01,87696350.0,15463975.0,0.1763354461160584,11,2012,-0.5000000000000004,0.8660254037844384,14091825.0,13158350.0,12438575.0,8348925.0,5074650.0,13229583.333333334,828923.7187210495,11695204.166666666,2031103.042278793,9001154.166666666,3158959.0723310877
2012-12-01,94090450.0,15222050.0,0.1617810309122764,12,2012,-2.4492935982947064e-16,1.0,15463975.0,14091825.0,13158350.0,10748750.0,6382300.0,14238050.0,1159746.9435721743,12881045.833333334,1743308.6028739053,9866931.25,3399532.39142608
2013-01-01,105074375.0,17347875.0,0.1651009106644698,1,2013,0.49999999999999994,0.8660254037844387,15222050.0,15463975.0,14091825.0,11384800.0,6438800.0,14925950.0,732431.097868598,13626595.833333334,1599635.6208068659,10603577.083333334,3531004.262977564
2013-02-01,120171375.0,19610400.0,0.1631869486389749,2,2013,0.8660254037844386,0.5000000000000001,17347875.0,15222050.0,15463975.0,12438575.0,6492450.0,16011300.0,1163811.1850188586,14620441.666666666,1771443.672944942,11512666.666666666,3758272.837662351
2013-03-01,127643500.0,19261175.0,0.1508982047656167,3,2013,1.0,6.123233995736766e-17,19610400.0,17347875.0,15222050.0,13158350.0,6484100.0,17393441.666666668,2194529.8292477895,15815745.833333334,2334810.1911834646,12605829.166666666,4060915.9366066204
2013-04-01,140125775.0,24069125.0,0.171768006278645,4,2013,0.8660254037844387,-0.4999999999999998,19261175.0,19610400.0,17347875.0,14091825.0,6970325.0,18739816.666666668,1218037.654470636,16832883.333333332,2274137.661107319,13670585.416666666,3984230.396705163
2013-05-01,148036475.0,26431375.0,0.178546368386575,5,2013,0.49999999999999994,-0.8660254037844387,24069125.0,19261175.0,19610400.0,15463975.0,8348925.0,20980233.333333332,2680751.447161473,18495766.666666668,3289900.2203207724,15095485.416666666,4405441.532812504
2013-06-01,158063375.0,27676525.0,0.1750976467508681,6,2013,1.2246467991473532e-16,-1.0,26431375.0,24069125.0,19261175.0,15222050.0,10748750.0,23253891.666666668,3653956.2190635684,20323666.666666668,4191706.7108358936,16602356.25,4947225.712723029
2013-07-01,170776825.0,28188575.0,0.1650608916051694,7,2013,-0.4999999999999997,-0.8660254037844388,27676525.0,26431375.0,24069125.0,17347875.0,11384800.0,26059008.333333332,1832300.8461585464,22399412.5,4243529.997942455,18013004.166666668,5508001.135660345
2013-08-01,180032675.0,29038675.0,0.1612966923920893,8,2013,-0.8660254037844384,-0.5000000000000004,28188575.0,27676525.0,26431375.0,19610400.0,12438575.0,27432158.333333332,903727.9794458771,24206195.833333332,3960992.539074539,19413318.75,5798098.604765397
2013-09-01,187911125.0,31480625.0,0.167529330687579,9,2013,-1.0,-1.8369701987210297e-16,29038675.0,28188575.0,27676525.0,19261175.0,13158350.0,28301258.333333332,688030.7448314568,25777575.0,3629419.515983238,20796660.416666668,5960737.021976877
2013-10-01,204771925.0,34610200.0,0.1690182870527783,10,2013,-0.8660254037844386,0.5000000000000001,31480625.0,29038675.0,28188575.0,24069125.0,14091825.0,29569291.666666668,1708965.7210820024,27814150.0,2491542.25626418,22323516.666666668,6169294.03206954
2013-11-01,215992725.0,35380675.0,0.1638049383376222,11,2013,-0.5000000000000004,0.8660254037844384,34610200.0,31480625.0,29038675.0,26431375.0,15463975.0,31709833.333333332,2792825.6392869083,29570995.833333332,2989346.207217252,24033381.25,6514182.250457332
2013-12-01,224165125.0,36813400.0,0.1642244751497361,12,2013,-2.4492935982947064e-16,1.0,35380675.0,34610200.0,31480625.0,27676525.0,15222050.0,33823833.333333336,2065520.975797227,31062545.833333332,3323485.4704217035,25693106.25,6667767.660903233
